playername;playerteam;age
Kevin Durant;Thunder;37
Steph Curry;Grizzlies;20
John Wall;Clippers;38
Karl Anthony-Towns;Clippers;24
Dominique Wilkins;Pistons;35
Patrick Ewing;Magic;36
Jason Kidd;Hawks;23
Kevin McHale;Blazers;36
Elgin Baylor;76ers;26
Russell Westbrook;Nets;21
Karl Malone;Knicks;26
Manute Bol;Jazz;41
Dominique Wilkins;Hornets;28
Chris Bosh;Hawks;40
Blake Griffin;Raptors;30
Tim Duncan;Pelicans;29
Karl Malone;Pistons;37
Jamal Murray;Pacers;41
Kawhi Leonard;Warriors;41
Allen Iverson;Cavaliers;39
Magic Johnson;Jazz;19
Devin Booker;Grizzlies;40
John Wall;Pelicans;20
Carmelo Anthony;Blazers;30
Magic Johnson;76ers;26
Shaquille Oneal;Bucks;30
Ray Allen;Bucks;41
Allen Iverson;Pacers;21
Kyrie irving;Timberwolves;31
Nikola Jokic;Cavaliers;20
Kevin Durant;Knicks;34
John Wall;Jazz;32
Donovan Mitchell;Kings;32
Allen Iverson;Jazz;23
Wilt Chamberlain;Knicks;23
Russell Westbrook;Kings;18
Joel Embiid;Bulls;21
Vince carter;Grizzlies;29
Kevin Garnett;Lakers;27
Anthony Davis;Nuggets;20
Tim Duncan;Pelicans;30
John Stockton;Lakers;22
Kyrie irving;Cavaliers;18
Paul George;Jazz;33
Kemba Walker;Clippers;24
Bradley Beal;Hawks;20
Devin Booker;Pistons;29
George Mikan;Clippers;25
George Gervin;Mavericks;29
Julius Erwing;Pacers;34
John Wall;Knicks;28
Paul Pierce;Spurs;36
Julius Erwing;Suns;22
Rudy Gobert;Heat;26
Scottie Pippen;Hornets;38
Mugsy Bouges;Spurs;36
Yao Ming;Kings;33
Julius Erwing;Bucks;33
Reggie Miller;Lakers;37
Mugsy Bouges;Rockets;22
Tracy McGrady;Heat;35
Moses Malone;Raptors;26
Michael Jordan;Pelicans;26
Karl Anthony-Towns;Mavericks;37
Steph Curry;Wizards;20
John Wall;Blazers;24
Wilt Chamberlain;Pistons;25
Magic Johnson;Clippers;32
Giannis Antetokounmpo;Hornets;21
Nikola Jokic;Bulls;36
Paul Pierce;Spurs;35
Wilt Chamberlain;Pelicans;26
George Gervin;Wizards;19
Kareem Abdul-Jabbar;Lakers;38
DeAron Fox;76ers;37
Jamal Murray;Bulls;35
Carmelo Anthony;Cavaliers;22
Luka Doncic;Wizards;40
Chris Paul;Nuggets;37
Dominique Wilkins;Bucks;24
Steph Curry;Pistons;40
Karl Malone;Heat;31
Joel Embiid;Warriors;22
Allen Iverson;Magic;31
Kobe Bryant;Nets;23
Kevin Garnett;Bucks;18
Jason Kidd;Hornets;36
Joel Embiid;Bucks;32
Kobe Bryant;Lakers;34
George Gervin;Celtics;27
Shaquille Oneal;Suns;37
CJ McCollum;Raptors;32
George Gervin;Mavericks;31
Dirk Nowitzki;Pelicans;29
CJ McCollum;Spurs;30
Devin Booker;Celtics;29
Steve Nash;Grizzlies;34
Jason Kidd;Hawks;41
Kemba Walker;Thunder;21
Giannis Antetokounmpo;Nuggets;38
Dirk Nowitzki;Pacers;21
Moses Malone;Kings;31
Kevin Durant;Raptors;32
Dominique Wilkins;Rockets;35
Steve Nash;Pacers;23
Kareem Abdul-Jabbar;Jazz;18
John Stockton;Grizzlies;23
Isiah Thomas;Hornets;20
Kevin McHale;Pistons;20
Joel Embiid;Blazers;25
John Stockton;Pacers;32
Giannis Antetokounmpo;Rockets;31
Rudy Gobert;Wizards;28
Klay Thompson;Magic;37
James Worthy;Raptors;23
Scottie Pippen;Cavaliers;21
Kevin McHale;Kings;21
Giannis Antetokounmpo;Cavaliers;31
DeMar DeRozan;Nets;32
Chris Bosh;Nuggets;29
Vince carter;Timberwolves;23
Paul Pierce;Jazz;36
Patrick Ewing;Pelicans;36
Jerry West;Rockets;37
Jason Kidd;Warriors;34
Elgin Baylor;Timberwolves;39
Donovan Mitchell;Celtics;33
Anthony Davis;Suns;23
Chris Bosh;Timberwolves;23
Vince carter;Bucks;25
Steve Nash;Wizards;25
Hakeem Olajuwon;Nuggets;25
John Stockton;Spurs;22
Reggie Miller;Timberwolves;26
Penny Hardaway;Pelicans;37
Larry Bird;Blazers;23
Hakeem Olajuwon;Celtics;22
Kyrie irving;Nets;37
James Harden;Grizzlies;27
Elgin Baylor;Cavaliers;38
Karl Malone;Spurs;34
George Mikan;Lakers;35
Nikola Jokic;Bulls;28
Dirk Nowitzki;76ers;26
Jason Kidd;Grizzlies;18
James Harden;Lakers;24
Manute Bol;Warriors;33
Klay Thompson;Suns;20
Russell Westbrook;Blazers;23
Giannis Antetokounmpo;Bucks;25
Rudy Gobert;Mavericks;18
James Worthy;Timberwolves;24
Nikola Jokic;Bucks;21
Charles Barkley;Clippers;34
Paul George;Blazers;37
Bill Russell;Heat;18
Dominique Wilkins;Clippers;32
Charles Barkley;Grizzlies;21
James Worthy;Suns;27
Karl Malone;Wizards;20
Kevin Garnett;Thunder;40
Kyrie irving;Jazz;29
DeMar DeRozan;76ers;32
Kevin McHale;Hawks;25
Magic Johnson;Heat;35
Karl Malone;Nets;34
Vince carter;Celtics;29
Rudy Gobert;Heat;26
Yao Ming;Raptors;31
Ray Allen;Hornets;33
David Robinson;76ers;26
Penny Hardaway;Clippers;18
Ja Morant;Grizzlies;41
Kemba Walker;Clippers;38
Kevin Garnett;Wizards;33
Wilt Chamberlain;Suns;41
DeAron Fox;Clippers;33
Ja Morant;Pistons;40
DeAron Fox;76ers;31
George Mikan;Knicks;19
Steph Curry;76ers;34
Blake Griffin;Knicks;20
Steve Nash;Hornets;29
Chris Paul;Mavericks;24
Kobe Bryant;Grizzlies;26
John Stockton;Wizards;29
Vince carter;Blazers;34
Charles Barkley;Raptors;23
Devin Booker;Raptors;33
Wilt Chamberlain;Bulls;21
Bill Russell;Pacers;37
John Wall;Magic;22
DeAron Fox;Jazz;27
Kyrie irving;Pistons;32
Allen Iverson;Timberwolves;23
Julius Erwing;Heat;32
Chris Paul;Mavericks;33
Jamal Murray;76ers;23
Jason Kidd;Nets;20
James Worthy;Magic;27
Shaquille Oneal;Lakers;25
Nikola Jokic;Grizzlies;27
Elgin Baylor;Grizzlies;20
Dirk Nowitzki;Pacers;39
Russell Westbrook;Mavericks;22
Kawhi Leonard;Thunder;22
James Harden;Pacers;26
Tracy McGrady;Raptors;28
Rudy Gobert;Cavaliers;24
Julius Erwing;76ers;34
Klay Thompson;Mavericks;28
Kevin McHale;Clippers;39
Jerry West;Heat;26
Ja Morant;Nuggets;39
Blake Griffin;Raptors;36
Nikola Jokic;Warriors;23
Giannis Antetokounmpo;Suns;25
Chris Paul;Heat;41
LeBron James;Kings;36
Moses Malone;Spurs;39
George Mikan;Knicks;18
Anthony Davis;Nuggets;24
Magic Johnson;Heat;34
Blake Griffin;Mavericks;40
Kobe Bryant;Cavaliers;18
Jerry West;Spurs;34
Julius Erwing;76ers;26
Penny Hardaway;Warriors;39
Dominique Wilkins;Heat;30
James Harden;Jazz;41
James Harden;Spurs;29
Kyrie irving;Mavericks;40
Paul George;Spurs;31
Shaquille Oneal;Nets;20
Yao Ming;Rockets;20
Kareem Abdul-Jabbar;Nuggets;28
Scottie Pippen;Jazz;19
Carmelo Anthony;Jazz;29
Kevin McHale;Nuggets;40
George Gervin;Nets;20
Giannis Antetokounmpo;Grizzlies;30
Steph Curry;Clippers;30
Paul George;Cavaliers;29
Ray Allen;Lakers;26
Penny Hardaway;Mavericks;37
Magic Johnson;Nets;23
Russell Westbrook;Celtics;23
Larry Bird;Heat;33
Steph Curry;Lakers;30
CJ McCollum;Hornets;18
Scottie Pippen;Knicks;29
Kyrie irving;Nets;19
Dennis Rodman;Thunder;37
Reggie Miller;Hawks;30
Kawhi Leonard;Thunder;29
George Mikan;Pistons;27
Patrick Ewing;Spurs;34
James Harden;Timberwolves;27
Tim Duncan;Pistons;23
Shaquille Oneal;Clippers;32
Joel Embiid;Heat;31
Kemba Walker;Knicks;36
Kevin McHale;Kings;31
Jamal Murray;Heat;28
Dwyane Wade;Pistons;36
Jamal Murray;Raptors;32
Jerry West;Spurs;30
Kobe Bryant;76ers;19
Michael Jordan;Warriors;33
Elgin Baylor;Cavaliers;29
Jerry West;Hornets;28
Jamal Murray;Hawks;34
LeBron James;76ers;31
Bradley Beal;76ers;20
CJ McCollum;Hawks;33
Karl Anthony-Towns;Suns;34
Tracy McGrady;Thunder;25
Blake Griffin;Pistons;39
Mugsy Bouges;Jazz;41
Kareem Abdul-Jabbar;Pelicans;41
Kareem Abdul-Jabbar;Bulls;39
Russell Westbrook;Kings;29
Luka Doncic;Knicks;38
John Wall;Pistons;30
Tim Duncan;Spurs;22
Donovan Mitchell;Suns;26
John Stockton;Wizards;31
Kawhi Leonard;Bucks;26
Karl Malone;Pelicans;22
Kemba Walker;Blazers;27
Dominique Wilkins;Pelicans;20
Dwyane Wade;Wizards;31
Penny Hardaway;Pistons;40
Hakeem Olajuwon;Pacers;33
David Robinson;Celtics;24
John Wall;Hawks;26
Michael Jordan;Blazers;20
Kobe Bryant;Hawks;19
James Worthy;Kings;22
Kareem Abdul-Jabbar;Spurs;39
Luka Doncic;Nuggets;25
Karl Anthony-Towns;Spurs;32
Wilt Chamberlain;Timberwolves;37
Elgin Baylor;Raptors;34
Patrick Ewing;76ers;41
John Wall;Kings;30
Mugsy Bouges;Heat;26
Kobe Bryant;Rockets;18
Kevin Garnett;Thunder;32
Chris Bosh;Clippers;38
Klay Thompson;76ers;20
Kobe Bryant;Thunder;18
Karl Anthony-Towns;Knicks;19
Charles Barkley;Kings;34
Joel Embiid;Mavericks;23
Moses Malone;Pistons;36
Yao Ming;Cavaliers;40
Ja Morant;Knicks;32
Nikola Jokic;Pelicans;38
Nikola Jokic;Bucks;32
Luka Doncic;Pacers;25
Manute Bol;Suns;41
Joel Embiid;Pacers;22
Moses Malone;Pacers;19
Anthony Davis;Rockets;39
Kobe Bryant;Blazers;21
Ja Morant;Raptors;21
Blake Griffin;Mavericks;30
Dirk Nowitzki;Celtics;40
Magic Johnson;Wizards;22
Rudy Gobert;Timberwolves;33
Luka Doncic;Suns;40
Dirk Nowitzki;Thunder;39
Steve Nash;Raptors;20
Kyrie irving;Bucks;31
Larry Bird;Timberwolves;20
Kemba Walker;Kings;36
Paul George;Nuggets;41
DeAron Fox;Pacers;32
Charles Barkley;Magic;37
Jamal Murray;Thunder;24
LeBron James;Bulls;21
Kemba Walker;Blazers;39
Kareem Abdul-Jabbar;Knicks;35
LeBron James;Rockets;36
Karl Malone;Lakers;31
Steph Curry;Nets;40
Kobe Bryant;Blazers;31
DeAron Fox;Jazz;36
DeAron Fox;Jazz;22
DeAron Fox;Celtics;34
Charles Barkley;Warriors;36
Bradley Beal;Nuggets;19
Joel Embiid;Knicks;25
Dominique Wilkins;Pacers;32
Rudy Gobert;Heat;20
Kyrie irving;Hornets;37
Vince carter;Pelicans;41
Steve Nash;Warriors;35
Manute Bol;Cavaliers;32
Paul Pierce;Kings;30
DeMar DeRozan;Rockets;30
Paul George;Blazers;24
Kyrie irving;Wizards;25
Allen Iverson;Thunder;35
Kevin McHale;Magic;30
Larry Bird;Warriors;39
Vince carter;Bucks;35
Penny Hardaway;Jazz;41
Kevin Durant;Kings;26
Reggie Miller;Bucks;24
George Mikan;Grizzlies;18
Joel Embiid;Nuggets;20
Allen Iverson;Celtics;33
Karl Malone;Kings;29
Scottie Pippen;Bulls;34
Kemba Walker;Pelicans;29
Carmelo Anthony;Clippers;31
Ja Morant;Spurs;32
Isiah Thomas;Raptors;25
Karl Malone;Thunder;19
Ray Allen;Pelicans;27
DeMar DeRozan;Hawks;33
Larry Bird;Bucks;23
Kevin Durant;Thunder;38
Dwight Howard;Raptors;19
Dwyane Wade;Hawks;34
Bill Russell;Pacers;23
Dirk Nowitzki;Rockets;20
James Harden;Wizards;28
John Stockton;Wizards;30
Rudy Gobert;Bulls;39
Dirk Nowitzki;Warriors;40
David Robinson;Grizzlies;41
Ja Morant;Jazz;41
Tracy McGrady;Blazers;41
Dwight Howard;Blazers;39
Nikola Jokic;Spurs;25
Giannis Antetokounmpo;Cavaliers;40
DeAron Fox;Pelicans;18
Ja Morant;Pistons;39
Kevin Durant;Raptors;41
Donovan Mitchell;Grizzlies;27
Damian Lillard;Cavaliers;39
Kobe Bryant;Pelicans;30
Donovan Mitchell;Jazz;37
Kevin McHale;Clippers;40
Ja Morant;Mavericks;38
John Stockton;Rockets;34
Dominique Wilkins;Jazz;20
Magic Johnson;Pelicans;20
Shaquille Oneal;Suns;26
Charles Barkley;Nets;41
Dominique Wilkins;76ers;36
Kevin Durant;Blazers;27
Mugsy Bouges;Knicks;36
Rudy Gobert;Blazers;20
Kevin McHale;Hawks;25
James Worthy;Pistons;25
Penny Hardaway;Spurs;26
Dwight Howard;Cavaliers;41
Anthony Davis;Rockets;34
Kevin Durant;Cavaliers;38
Yao Ming;Nets;22
Dirk Nowitzki;Wizards;24
Luka Doncic;Raptors;25
Kyrie irving;Nuggets;35
LeBron James;Pelicans;23
Klay Thompson;Hornets;40
Steve Nash;Grizzlies;25
DeAron Fox;Nuggets;34
Chris Bosh;Grizzlies;29
Steve Nash;Blazers;21
Reggie Miller;Cavaliers;31
DeMar DeRozan;Bucks;41
Chris Bosh;Wizards;36
Dirk Nowitzki;Knicks;30
Damian Lillard;Lakers;36
Steph Curry;Hornets;39
Bill Russell;Hawks;41
Blake Griffin;Grizzlies;19
Bradley Beal;76ers;32
Russell Westbrook;Pelicans;18
Wilt Chamberlain;Grizzlies;41
Kyrie irving;Spurs;26
DeAron Fox;Clippers;18
Jamal Murray;Timberwolves;23
Paul George;Nets;28
Kemba Walker;Nets;35
Ja Morant;Blazers;18
Bill Russell;Celtics;39
Steph Curry;Clippers;27
Ray Allen;Celtics;26
Hakeem Olajuwon;Cavaliers;40
Karl Anthony-Towns;Magic;25
Bradley Beal;Clippers;35
Dwight Howard;Clippers;23
Yao Ming;Jazz;32
Wilt Chamberlain;Blazers;37
Klay Thompson;Kings;30
Steve Nash;Heat;21
Dominique Wilkins;Rockets;23
George Mikan;Warriors;33
Patrick Ewing;Magic;41
Bill Russell;Rockets;32
Bradley Beal;Jazz;26
John Wall;Kings;26
Hakeem Olajuwon;Pacers;32
Dwyane Wade;Cavaliers;24
Jason Kidd;Nuggets;30
Jason Kidd;Bucks;35
Yao Ming;Nuggets;35
CJ McCollum;Blazers;23
Dominique Wilkins;Thunder;40
Wilt Chamberlain;Spurs;36
Reggie Miller;Mavericks;18
Reggie Miller;Rockets;30
Nikola Jokic;Bulls;27
Hakeem Olajuwon;Bulls;20
Dennis Rodman;Spurs;41
Carmelo Anthony;Magic;32
George Mikan;Wizards;24
Steve Nash;Magic;39
Tim Duncan;Raptors;40
Hakeem Olajuwon;Kings;26
Kevin Garnett;Celtics;33
Klay Thompson;Cavaliers;37
Dennis Rodman;Pelicans;22
Kareem Abdul-Jabbar;Nuggets;27
Shaquille Oneal;Pistons;41
Scottie Pippen;Grizzlies;20
Jerry West;Magic;26
Steph Curry;Grizzlies;34
Scottie Pippen;Raptors;34
Karl Malone;Nets;40
Russell Westbrook;Jazz;38
Hakeem Olajuwon;Rockets;39
Chris Paul;Magic;23
John Wall;Kings;37
Kevin Durant;76ers;35
Elgin Baylor;Kings;33
Carmelo Anthony;Grizzlies;25
John Stockton;Pelicans;25
John Stockton;Pistons;39
Dwight Howard;Spurs;32
LeBron James;Jazz;30
Luka Doncic;Rockets;34
Kareem Abdul-Jabbar;Pistons;38
Shaquille Oneal;Bucks;30
CJ McCollum;Thunder;37
Yao Ming;76ers;27
Luka Doncic;Hawks;23
Kawhi Leonard;Spurs;20
Dominique Wilkins;Nuggets;27
Steve Nash;Wizards;18
Kevin McHale;Bucks;20
CJ McCollum;Heat;27
Chris Paul;Rockets;22
Bradley Beal;Bulls;35
James Harden;Suns;39
Steve Nash;Spurs;32
Dwyane Wade;Thunder;28
Donovan Mitchell;Thunder;30
George Mikan;Pacers;39
Tracy McGrady;Kings;26
George Mikan;Jazz;28
Anthony Davis;Warriors;41
Kevin Durant;Bulls;22
Karl Anthony-Towns;Nuggets;19
Jason Kidd;Cavaliers;24
Allen Iverson;Magic;23
Jerry West;Lakers;23
Russell Westbrook;Nuggets;20
James Worthy;Knicks;26
Karl Anthony-Towns;Mavericks;38
Tim Duncan;Nets;19
Kobe Bryant;Nuggets;18
Giannis Antetokounmpo;Kings;24
Wilt Chamberlain;Wizards;30
Kawhi Leonard;Grizzlies;22
Jason Kidd;Bulls;23
Blake Griffin;Knicks;38
Russell Westbrook;Timberwolves;38
Chris Paul;Hawks;33
Paul Pierce;Knicks;28
Kareem Abdul-Jabbar;Lakers;20
Carmelo Anthony;Suns;32
Donovan Mitchell;Timberwolves;32
Moses Malone;Warriors;36
Carmelo Anthony;Blazers;37
Dennis Rodman;Clippers;18
Reggie Miller;Kings;26
Paul Pierce;Heat;39
Kevin McHale;Celtics;35
Karl Anthony-Towns;Nets;24
Luka Doncic;Nuggets;26
Rudy Gobert;Pistons;31
Dominique Wilkins;Celtics;21
Damian Lillard;Celtics;29
Patrick Ewing;Magic;39
Carmelo Anthony;Hornets;20
George Gervin;Lakers;24
Elgin Baylor;Knicks;32
Donovan Mitchell;Celtics;34
Patrick Ewing;Magic;27
Donovan Mitchell;76ers;21
Jerry West;Jazz;21
Chris Bosh;Bucks;36
Shaquille Oneal;Thunder;36
Kobe Bryant;Pistons;41
Tracy McGrady;Knicks;39
Chris Paul;Jazz;22
Klay Thompson;Cavaliers;30
Kemba Walker;76ers;39
Vince carter;Cavaliers;27
Devin Booker;Grizzlies;41
Dwight Howard;Thunder;19
Shaquille Oneal;Blazers;41
Jamal Murray;Celtics;36
Nikola Jokic;Grizzlies;36
DeMar DeRozan;Nets;22
Elgin Baylor;Warriors;35
Allen Iverson;Blazers;32
Donovan Mitchell;Mavericks;34
Tim Duncan;76ers;30
Bradley Beal;Celtics;27
Larry Bird;Knicks;38
Jamal Murray;Raptors;38
LeBron James;Hornets;34
Ray Allen;Timberwolves;21
Elgin Baylor;Rockets;40
Charles Barkley;Celtics;31
Donovan Mitchell;76ers;19
Carmelo Anthony;Lakers;32
George Gervin;Raptors;25
Ja Morant;Spurs;20
Elgin Baylor;Celtics;36
Kawhi Leonard;Blazers;23
Manute Bol;Suns;26
John Wall;Nets;21
Joel Embiid;Heat;33
Dwyane Wade;Timberwolves;25
LeBron James;Bucks;19
Nikola Jokic;Heat;25
Magic Johnson;Warriors;29
Carmelo Anthony;Warriors;25
Kyrie irving;Pelicans;34
Anthony Davis;Grizzlies;21
CJ McCollum;Timberwolves;40
Jamal Murray;Raptors;30
Vince carter;Pistons;37
Wilt Chamberlain;Knicks;25
Nikola Jokic;Wizards;32
Vince carter;Lakers;24
Vince carter;Cavaliers;23
Donovan Mitchell;Bulls;41
Bill Russell;Rockets;29
Karl Malone;Grizzlies;32
Ja Morant;Hawks;28
Wilt Chamberlain;Grizzlies;29
Luka Doncic;Celtics;28
Nikola Jokic;Kings;28
LeBron James;Clippers;24
Blake Griffin;Hawks;25
Jamal Murray;Nuggets;40
Dwyane Wade;Pelicans;28
Michael Jordan;Magic;23
Manute Bol;Bucks;27
Blake Griffin;Hornets;35
Dennis Rodman;Knicks;27
John Wall;Hawks;38
Blake Griffin;Kings;23
Nikola Jokic;Raptors;19
George Mikan;Bulls;31
Kobe Bryant;Heat;24
Kemba Walker;Pistons;23
Jason Kidd;Nets;31
Vince carter;Jazz;24
Larry Bird;Pelicans;30
Patrick Ewing;Grizzlies;33
Vince carter;Timberwolves;27
Steve Nash;Warriors;41
Ja Morant;Celtics;23
Kevin Garnett;Celtics;19
Charles Barkley;Bulls;21
Wilt Chamberlain;Magic;32
Klay Thompson;Kings;40
Blake Griffin;Celtics;31
Moses Malone;Bulls;33
Michael Jordan;Kings;18
Kevin Garnett;Jazz;29
Kareem Abdul-Jabbar;Knicks;24
Dennis Rodman;Pistons;26
Allen Iverson;Hornets;37
Allen Iverson;Hawks;26
Dirk Nowitzki;Rockets;22
Ja Morant;Blazers;31
DeMar DeRozan;Kings;31
Kawhi Leonard;76ers;37
Allen Iverson;Bucks;22
Penny Hardaway;Pacers;19
Klay Thompson;Warriors;24
Russell Westbrook;Cavaliers;37
George Gervin;Knicks;30
Chris Paul;Celtics;35
Penny Hardaway;Cavaliers;23
Mugsy Bouges;Raptors;18
LeBron James;Bucks;38
John Stockton;Nets;34
LeBron James;Wizards;31
John Stockton;Clippers;40
George Mikan;Rockets;30
Kyrie irving;Bucks;39
Tim Duncan;Kings;27
Tracy McGrady;Timberwolves;32
Ja Morant;Timberwolves;27
Blake Griffin;Bucks;34
John Stockton;Warriors;34
Tim Duncan;Cavaliers;34
Klay Thompson;Mavericks;40
James Worthy;Nuggets;29
Dwight Howard;Cavaliers;38
Jerry West;Grizzlies;24
James Worthy;Mavericks;34
Jason Kidd;Kings;32
Chris Paul;Suns;28
Joel Embiid;Hawks;39
Steve Nash;Clippers;27
George Mikan;Nuggets;24
Jamal Murray;Celtics;19
Isiah Thomas;Suns;29
Kevin Garnett;Warriors;34
Kawhi Leonard;Pelicans;18
Paul Pierce;Magic;29
Elgin Baylor;Lakers;32
James Worthy;Pelicans;23
Michael Jordan;Pelicans;26
Blake Griffin;Lakers;24
Tim Duncan;Hawks;21
Tracy McGrady;Clippers;19
LeBron James;Heat;21
Kobe Bryant;Jazz;28
Kareem Abdul-Jabbar;Hawks;28
Dennis Rodman;Cavaliers;29
Giannis Antetokounmpo;Jazz;38
Mugsy Bouges;Nuggets;35
Tim Duncan;Magic;38
Dennis Rodman;Blazers;26
Kobe Bryant;Lakers;34
Ray Allen;Kings;38
Karl Malone;Mavericks;29
Dwyane Wade;Nuggets;27
Kevin McHale;Pistons;39
Magic Johnson;Nuggets;33
Rudy Gobert;Wizards;25
Ray Allen;Nets;23
Russell Westbrook;Spurs;29
Patrick Ewing;Pacers;24
David Robinson;Clippers;40
Steph Curry;Lakers;25
Ray Allen;Timberwolves;22
Kobe Bryant;Celtics;20
Anthony Davis;Rockets;26
James Harden;Pistons;25
Devin Booker;Rockets;29
DeAron Fox;Bulls;18
Ray Allen;Timberwolves;34
Bradley Beal;76ers;29
Kawhi Leonard;Pelicans;35
Steve Nash;Heat;32
Penny Hardaway;Cavaliers;19
Paul Pierce;Nets;35
Kyrie irving;Raptors;26
Kemba Walker;Bucks;18
Tracy McGrady;Hornets;21
Kyrie irving;Bucks;18
Tracy McGrady;Bulls;30
John Stockton;76ers;27
Dirk Nowitzki;Magic;21
John Wall;Magic;23
Tracy McGrady;Suns;24
Steve Nash;Lakers;24
Donovan Mitchell;Nuggets;39
Larry Bird;Spurs;21
George Mikan;Bulls;41
Jamal Murray;Heat;38
Russell Westbrook;Hornets;37
Giannis Antetokounmpo;Lakers;23
Paul George;Raptors;40
Chris Bosh;Blazers;40
Jamal Murray;Lakers;36
Chris Paul;Nets;32
Paul Pierce;Wizards;36
Devin Booker;Raptors;29
Kemba Walker;Nuggets;24
Rudy Gobert;Lakers;18
LeBron James;Blazers;36
Kevin Durant;Heat;39
David Robinson;Knicks;32
Paul George;Pistons;28
Steph Curry;Celtics;24
Tim Duncan;Lakers;26
Chris Bosh;Grizzlies;23
Dwight Howard;Kings;39
Bill Russell;Heat;23
Ray Allen;Thunder;36
Kevin McHale;Cavaliers;29
Kevin Garnett;Suns;40
George Gervin;Bulls;38
Kobe Bryant;Pistons;37
Dennis Rodman;Clippers;34
Reggie Miller;Hawks;22
Ja Morant;Lakers;36
DeMar DeRozan;Blazers;23
Kawhi Leonard;Bucks;27
George Mikan;Warriors;32
Moses Malone;Kings;36
Chris Paul;Wizards;18
Wilt Chamberlain;Grizzlies;31
Manute Bol;Timberwolves;29
Donovan Mitchell;Bulls;40
Kevin Durant;Cavaliers;34
Nikola Jokic;Celtics;41
Klay Thompson;Thunder;31
Elgin Baylor;Bucks;22
Dwight Howard;Lakers;34
Dominique Wilkins;Nuggets;19
LeBron James;Warriors;32
Klay Thompson;Lakers;31
Tracy McGrady;Wizards;28
Paul George;Kings;38
Larry Bird;Bulls;36
LeBron James;Lakers;22
Isiah Thomas;Nets;25
Chris Bosh;Bucks;38
Jerry West;Pelicans;20
Reggie Miller;Raptors;41
Mugsy Bouges;Knicks;41
Carmelo Anthony;Pelicans;41
George Gervin;Pacers;36
Bradley Beal;Knicks;37
Chris Paul;Kings;19
Kevin Durant;Suns;36
CJ McCollum;Kings;21
George Mikan;Cavaliers;34
Karl Malone;Thunder;25
Allen Iverson;Hawks;40
Reggie Miller;Lakers;30
Bradley Beal;Grizzlies;32
Tracy McGrady;Jazz;39
Michael Jordan;Kings;34
Kyrie irving;Timberwolves;29
Devin Booker;Raptors;40
Magic Johnson;Rockets;29
Bradley Beal;Hawks;28
John Wall;Heat;37
DeAron Fox;Pelicans;41
Donovan Mitchell;Nets;37
Kobe Bryant;Rockets;25
John Stockton;Nets;21
Luka Doncic;Celtics;32
Tim Duncan;Warriors;29
Scottie Pippen;Nuggets;23
Devin Booker;Grizzlies;30
Kawhi Leonard;Pacers;26
Kyrie irving;Hornets;32
Moses Malone;Clippers;20
Kareem Abdul-Jabbar;Suns;38
Anthony Davis;Bulls;33
Penny Hardaway;Spurs;19
John Wall;Cavaliers;18
John Stockton;Nets;41
David Robinson;Mavericks;35
Anthony Davis;Celtics;36
Steph Curry;Heat;40
Kevin McHale;Lakers;25
Kevin McHale;Nets;27
Chris Bosh;Raptors;27
John Wall;Knicks;25
Jamal Murray;Thunder;23
Steve Nash;Hornets;23
Russell Westbrook;Magic;21
Klay Thompson;76ers;30
Tim Duncan;Wizards;38
Damian Lillard;Pacers;24
Julius Erwing;Spurs;32
Luka Doncic;Knicks;39
Shaquille Oneal;Nets;23
Klay Thompson;Timberwolves;18
Jerry West;Suns;36
James Worthy;76ers;40
DeAron Fox;Pacers;27
Wilt Chamberlain;Heat;33
Chris Bosh;Spurs;28
DeMar DeRozan;Heat;36
Steph Curry;Warriors;19
Kawhi Leonard;Bulls;34
Allen Iverson;76ers;31
Bill Russell;Bucks;23
Donovan Mitchell;Cavaliers;41
LeBron James;Rockets;40
DeMar DeRozan;Hawks;30
Larry Bird;Lakers;31
Allen Iverson;Knicks;28
Carmelo Anthony;Hawks;34
Bill Russell;Spurs;26
Bradley Beal;Heat;33
Magic Johnson;Lakers;37
Rudy Gobert;Blazers;33
Blake Griffin;Mavericks;20
Ray Allen;Magic;29
Kevin Durant;Kings;18
Manute Bol;Knicks;22
Dwight Howard;Mavericks;25
Kareem Abdul-Jabbar;Raptors;24
Devin Booker;Bulls;21
Damian Lillard;Grizzlies;33
Larry Bird;Raptors;26
DeAron Fox;Bucks;25
Vince carter;Suns;38
Larry Bird;Cavaliers;18
Steve Nash;Warriors;33
Damian Lillard;Bulls;32
David Robinson;Blazers;29
DeMar DeRozan;Wizards;32
Scottie Pippen;Pacers;27
Carmelo Anthony;Timberwolves;20
James Worthy;Nets;34
Ray Allen;Timberwolves;39
Elgin Baylor;Bulls;33
Donovan Mitchell;Rockets;31
Steve Nash;Raptors;32
Ja Morant;Pelicans;38
Scottie Pippen;Wizards;41
Devin Booker;Kings;40
Manute Bol;Pacers;36
Reggie Miller;Thunder;23
Ray Allen;Nuggets;29
David Robinson;Heat;28
Dennis Rodman;76ers;23
Joel Embiid;Grizzlies;36
Paul Pierce;Mavericks;22
John Stockton;Cavaliers;22
Magic Johnson;Pistons;29
Charles Barkley;Nuggets;19
Yao Ming;Jazz;37
Joel Embiid;Grizzlies;24
DeAron Fox;Celtics;23
Charles Barkley;Heat;25
Vince carter;Jazz;37
Blake Griffin;Nets;36
Chris Paul;Spurs;26
James Harden;Spurs;30
George Gervin;Grizzlies;20
